Time	Sin	Left_Hand_X	Right_Hand_X	Left_Hand_Y	Right_Hand_Y	Left_Grip	Right_Grip
0.672	0.647055962	12.05714286	10.4	18.23527981	14.5	0	500
0.676	0.650243987	12.06857143	10.4	18.25121994	14.5	0	500
0.68	0.653420604	12.08	10.4	18.26710302	14.5	0	500
0.684	0.656585756	12.09142857	10.4	18.28292878	14.5	0	500
0.688	0.659739387	12.10285714	10.4	18.29869694	14.5	0	500
0.692	0.662881443	12.11428571	10.4	18.31440721	14.5	0	500
0.696	0.666011867	12.12571429	10.4	18.33005934	14.5	0	500
0.7	0.669130606	12.13714286	10.4	18.34565303	14.5	0	500
0.704	0.672237605	12.14857143	10.4	18.36118802	14.5	0	500
0.708	0.675332808	12.16	10.4	18.37666404	14.5	0	500
0.712	0.678416162	12.17142857	10.4	18.39208081	14.5	0	500
0.716	0.681487613	12.18285714	10.4	18.40743806	14.5	0	500
0.72	0.684547106	12.19428571	10.4	18.42273553	14.5	0	500
0.724	0.687594588	12.20571429	10.4	18.43797294	14.5	0	500
0.728	0.690630006	12.21714286	10.4	18.45315003	14.5	0	500
0.732	0.693653306	12.22857143	10.4	18.46826653	14.5	0	500
0.736	0.696664435	12.24	10.4	18.48332217	14.5	0	500
0.74	0.699663341	12.25142857	10.4	18.4983167	14.5	0	500
0.744	0.70264997	12.26285714	10.4	18.51324985	14.5	0	500
0.748	0.70562427	12.27428571	10.4	18.52812135	14.5	0	500
0.752	0.70858619	12.28571429	10.4	18.54293095	14.5	0	500
0.756	0.711535677	12.29714286	10.4	18.55767839	14.5	0	500
0.76	0.71447268	12.30857143	10.4	18.5723634	14.5	0	500
0.764	0.717397146	12.32	10.4	18.58698573	14.5	0	500
0.768	0.720309025	12.33142857	10.4	18.60154512	14.5	0	500
0.772	0.723208265	12.34285714	10.4	18.61604133	14.5	0	500
0.776	0.726094816	12.35428571	10.4	18.63047408	14.5	0	500
0.78	0.728968627	12.36571429	10.4	18.64484314	14.5	0	500
0.784	0.731829648	12.37714286	10.4	18.65914824	14.5	0	500
0.788	0.734677828	12.38857143	10.4	18.67338914	14.5	0	500
0.792	0.737513117	12.4	10.4	18.68756559	14.5	0	500
0.796	0.740335466	12.41142857	10.4	18.70167733	14.5	0	500
