Time	Sin	Left_Hand_X	Right_Hand_X	Left_Hand_Y	Right_Hand_Y	Left_Grip	Right_Grip
0.512	0.510843032	11.6	10.4	22.55421516	19.5	0	300
0.516	0.514439534	11.61142857	10.4	22.57219767	19.5	0	300
0.52	0.518027009	11.62285714	10.4	22.59013505	19.5	0	300
0.524	0.521605396	11.63428571	10.4	22.60802698	19.5	0	300
0.528	0.52517463	11.64571429	10.4	22.62587315	19.5	0	300
0.532	0.52873465	11.65714286	10.4	22.64367325	19.5	0	300
0.536	0.532285392	11.66857143	10.4	22.66142696	19.5	0	300
0.54	0.535826795	11.68	10.4	22.67913397	19.5	0	300
0.544	0.539358796	11.69142857	10.4	22.69679398	19.5	0	300
0.548	0.542881334	11.70285714	10.4	22.71440667	19.5	0	300
0.552	0.546394347	11.71428571	10.4	22.73197173	19.5	0	300
0.556	0.549897772	11.72571429	10.4	22.74948886	19.5	0	300
0.56	0.553391549	11.73714286	10.4	22.76695775	19.5	0	300
0.564	0.556875616	11.74857143	10.4	22.78437808	19.5	0	300
0.568	0.560349913	11.76	10.4	22.80174956	19.5	0	300
0.572	0.563814377	11.77142857	10.4	22.81907189	19.5	0	300
0.576	0.567268949	11.78285714	10.4	22.83634475	19.5	0	300
0.58	0.570713568	11.79428571	10.4	22.85356784	19.5	0	300
0.584	0.574148173	11.80571429	10.4	22.87074086	19.5	0	300
0.588	0.577572703	11.81714286	10.4	22.88786352	19.5	0	300
0.592	0.5809871	11.82857143	10.4	22.9049355	19.5	0	300
0.596	0.584391303	11.84	10.4	22.92195652	19.5	0	300
0.6	0.587785252	11.85142857	10.4	22.93892626	19.5	0	300
0.604	0.591168888	11.86285714	10.4	22.95584444	19.5	0	300
0.608	0.594542152	11.87428571	10.4	22.97271076	19.5	0	300
0.612	0.597904983	11.88571429	10.4	22.98952492	19.5	0	300
0.616	0.601257324	11.89714286	10.4	23.00628662	19.5	0	300
0.62	0.604599115	11.90857143	10.4	23.02299557	19.5	0	300
0.624	0.607930298	11.92	10.4	23.03965149	19.5	0	300
0.628	0.611250814	11.93142857	10.4	23.05625407	19.5	0	300
0.632	0.614560605	11.94285714	10.4	23.07280302	19.5	0	300
0.636	0.617859613	11.95428571	10.4	23.08929807	19.5	0	300
0.64	0.62114778	11.96571429	10.4	23.1057389	19.5	0	300
0.644	0.624425049	11.97714286	10.4	23.12212524	19.5	0	300
0.648	0.627691361	11.98857143	10.4	23.13845681	19.5	0	300
